sssom:subject_id	sssom:subject_category	sssom:predicate_id	sssom:object_id	sssom:object_category	sssom:mapping_justification	sssom:author_id	sssom:author_label	sssom:reviewer_id	sssom:reviewer_label	sssom:creator_id	sssom:creator_label	sssom:subject_type	sssom:object_type	sssom:mapping_date	sssom:object_match_field	sssom:comment	semapv:RegexRemoval
mids:PhysicalSpecimenID	mids0	skos:narrowMatch	dwc:materialSampleID	dwc:Occurrence	semapv:HumanCuration	orcid:0000-0002-3973-1257 | orcid:0000-0002-5669-2769	Mathias Dillen | Sam Leeflang			orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	rdf property	2023-09			|unknown:undigitized|unknown|Unknown
mids:PhysicalSpecimenID	mids0	skos:narrowMatch	dwc:catalogNumber	dwc:Occurrence	semapv:HumanCuration	orcid:0000-0002-3973-1257	Mathias Dillen			orcid:0000-0002-3973-1253	Mathias Dillen	rdf property	rdf property	2023-09			|unknown:undigitized|unknown|Unknown
mids:PhysicalSpecimenID	mids0	skos:narrowMatch	dwc:otherCatalogNumbers	dwc:Occurrence	semapv:HumanCuration	orcid:0000-0002-3973-1257	Mathias Dillen			orcid:0000-0002-3973-1254	Mathias Dillen	rdf property	rdf property	2023-09			|unknown:undigitized|unknown|Unknown
mids:PhysicalSpecimenID	mids0	skos:narrowMatch	dwc:occurrenceID	dwc:Occurrence	semapv:HumanCuration	orcid:0000-0002-5669-2769	Sam Leeflang			orcid:0000-0002-3973-1254	Mathias Dillen	rdf property	rdf property	2023-09			|unknown:undigitized|unknown|Unknown
mids:PhysicalSpecimenID	mids0	skos:narrowMatch	dwc:materialEntityID	dwc:Occurrence	semapv:HumanCuration	orcid:0000-0002-3090-1761	Wouter Addink			orcid:0000-0002-3973-1254	Mathias Dillen	rdf property	rdf property	2023-09			|unknown:undigitized|unknown|Unknown
mids:Organization	mids0	skos:narrowMatch	dwc:ownerInstitutionCode	dwc:Occurrence	semapv:HumanCuration	orcid:0000-0002-3973-1257	Mathias Dillen			orcid:0000-0002-3973-1255	Mathias Dillen	rdf property	rdf property	2023-09			|unknown:undigitized|unknown|Unknown
mids:Organization	mids0	skos:narrowMatch	dwc:institutionID	dwc:Occurrence	semapv:HumanCuration	orcid:0000-0002-3973-1257 | orcid:0000-0002-5669-2769	Mathias Dillen | Sam Leeflang			orcid:0000-0002-3973-1256	Mathias Dillen	rdf property	rdf property	2023-09			|unknown:undigitized|unknown|Unknown
mids:Organization	mids0	skos:narrowMatch	dwc:institutionCode	dwc:Occurrence	semapv:HumanCuration	orcid:0000-0002-3973-1257 | orcid:0000-0002-5669-2769	Mathias Dillen | Sam Leeflang			orcid:0000-0002-3973-1257	Mathias Dillen	rdf property	rdf property	2023-09			|unknown:undigitized|unknown|Unknown
mids:Name	mids1	skos:narrowMatch	dwc:scientificName	dwc:Occurrence	semapv:HumanCuration	orcid:0000-0002-3973-1257	Mathias Dillen			orcid:0000-0002-3973-1258	Mathias Dillen	rdf property	rdf property	2023-09			|unknown:undigitized|unknown|Unknown
mids:Name	mids1	skos:narrowMatch	dwc:vernacularName	dwc:Occurrence	semapv:HumanCuration	orcid:0000-0002-3973-1257	Mathias Dillen			orcid:0000-0002-3973-1259	Mathias Dillen	rdf property	rdf property	2023-09			|unknown:undigitized|unknown|Unknown
mids:Name	mids1	skos:narrowMatch	dwc:scientificNameID	dwc:Occurrence	semapv:HumanCuration	orcid:0000-0002-5669-2769	Sam Leeflang			orcid:0000-0002-3973-1260	Mathias Dillen	rdf property	rdf property	2023-09			|unknown:undigitized|unknown|Unknown|0
mids:ScientificNameID	mids3	skos:narrowMatch	gbif:taxonKey	dwc:Occurrence	semapv:HumanCuration	orcid:0000-0002-3973-1257	Mathias Dillen			orcid:0000-0002-3973-1260	Mathias Dillen	rdf property	rdf property	2024-06-26			|unknown:undigitized|unknown|Unknown|0
mids:Name	mids1	skos:narrowMatch	dwc:organismName	dwc:Occurrence	semapv:HumanCuration	orcid:0000-0002-5669-2769	Sam Leeflang			orcid:0000-0002-3973-1261	Mathias Dillen	rdf property	rdf property	2023-09			|unknown:undigitized|unknown|Unknown
mids:SpecimenType	mids1	skos:exactMatch	dwc:basisOfRecord	dwc:Occurrence	semapv:HumanCuration	orcid:0000-0002-3973-1257 | orcid:0000-0002-5669-2769	Mathias Dillen | Sam Leeflang			orcid:0000-0002-3973-1260	Mathias Dillen	rdf property	rdf property	2023-09			|unknown:undigitized|unknown|Unknown
mids:ObjectType	mids1	skos:exactMatch	dwc:preparations	dwc:Occurrence	semapv:HumanCuration	orcid:0000-0002-3973-1257 | orcid:0000-0002-5669-2769	Mathias Dillen | Sam Leeflang			orcid:0000-0002-3973-1261	Mathias Dillen	rdf property	rdf property	2023-09			|unknown:undigitized|unknown|Unknown
mids:License	mids1	skos:exactMatch	dc:license	dwc:Occurrence	semapv:HumanCuration	orcid:0000-0002-3973-1257 | orcid:0000-0002-5669-2769	Mathias Dillen | Sam Leeflang			orcid:0000-0002-3973-1262	Mathias Dillen	rdf property	rdf property	2023-09			|unknown:undigitized|unknown|Unknown
mids:Modified	mids1	skos:exactMatch	dc:modified	dwc:Occurrence	semapv:HumanCuration	orcid:0000-0002-3973-1257 | orcid:0000-0002-5669-2769	Mathias Dillen | Sam Leeflang			orcid:0000-0002-3973-1263	Mathias Dillen	rdf property	rdf property	2023-09			|unknown:undigitized|unknown|Unknown
mids:QualitativeLocation	mids2	skos:narrowMatch	dwc:locality	dwc:Occurrence	semapv:HumanCuration	orcid:0000-0002-3973-1257 | orcid:0000-0002-5669-2769	Mathias Dillen | Sam Leeflang			orcid:0000-0002-3973-1264	Mathias Dillen	rdf property	rdf property	2023-09			|unknown:undigitized|unknown|Unknown
mids:QualitativeLocation	mids2	skos:narrowMatch	dwc:county	dwc:Occurrence	semapv:HumanCuration	orcid:0000-0002-3973-1257 | orcid:0000-0002-5669-2769	Mathias Dillen | Sam Leeflang			orcid:0000-0002-3973-1265	Mathias Dillen	rdf property	rdf property	2023-09			|unknown:undigitized|unknown|Unknown
mids:QualitativeLocation	mids2	skos:narrowMatch	dwc:municipality	dwc:Occurrence	semapv:HumanCuration	orcid:0000-0002-3973-1257 | orcid:0000-0002-5669-2769	Mathias Dillen | Sam Leeflang			orcid:0000-0002-3973-1266	Mathias Dillen	rdf property	rdf property	2023-09			|unknown:undigitized|unknown|Unknown
mids:QualitativeLocation	mids2	skos:narrowMatch	dwc:verbatimLocality	dwc:Occurrence	semapv:HumanCuration	orcid:0000-0002-3973-1257	Mathias Dillen			orcid:0000-0002-3973-1267	Mathias Dillen	rdf property	rdf property	2023-09			|unknown:undigitized|unknown|Unknown
mids:QualitativeLocation	mids2	skos:narrowMatch	dwc:island	dwc:Occurrence	semapv:HumanCuration	orcid:0000-0002-3973-1257 | orcid:0000-0002-5669-2769	Mathias Dillen | Sam Leeflang			orcid:0000-0002-3973-1268	Mathias Dillen	rdf property	rdf property	2023-09			|unknown:undigitized|unknown|Unknown
mids:QualitativeLocation	mids2	skos:narrowMatch	dwc:verbatimCoordinates	dwc:Occurrence	semapv:HumanCuration	orcid:0000-0002-3973-1257	Mathias Dillen			orcid:0000-0002-3973-1269	Mathias Dillen	rdf property	rdf property	2023-09			|unknown:undigitized|unknown|Unknown
mids:QualitativeLocation	mids2	owl:intersectionOf	dwc:verbatimLongitude	dwc:Occurrence	semapv:HumanCuration	orcid:0000-0002-3973-1257	Mathias Dillen			orcid:0000-0002-3973-1272	Mathias Dillen	rdf property	rdf property	2023-09	dwc:verbatimLongitude | dwc:verbatimLatitude	All properties in object_match_field need to be present	|unknown:undigitized|unknown|Unknown
mids:QualitativeLocation	mids2	owl:intersectionOf	dwc:verbatimLatitude	dwc:Occurrence	semapv:HumanCuration	orcid:0000-0002-3973-1257	Mathias Dillen			orcid:0000-0002-3973-1273	Mathias Dillen	rdf property	rdf property	2023-09			|unknown:undigitized|unknown|Unknown
mids:QualitativeLocation	mids2	skos:narrowMatch	dwc:continent	dwc:Occurrence	semapv:HumanCuration	orcid:0000-0002-5669-2769	Sam Leeflang			orcid:0000-0002-3973-1274	Mathias Dillen	rdf property	rdf property	2023-09			|unknown:undigitized|unknown|Unknown
mids:QualitativeLocation	mids2	skos:narrowMatch	dwc:country	dwc:Occurrence	semapv:HumanCuration	orcid:0000-0002-5669-2769	Sam Leeflang			orcid:0000-0002-3973-1275	Mathias Dillen	rdf property	rdf property	2023-09			|unknown:undigitized|unknown|Unknown
mids:QualitativeLocation	mids2	skos:narrowMatch	dwc:countryCode	dwc:Occurrence	semapv:HumanCuration	orcid:0000-0002-5669-2769	Sam Leeflang			orcid:0000-0002-3973-1276	Mathias Dillen	rdf property	rdf property	2023-09			|unknown:undigitized|unknown|Unknown
mids:QualitativeLocation	mids2	skos:narrowMatch	dwc:islandGroup	dwc:Occurrence	semapv:HumanCuration	orcid:0000-0002-5669-2769	Sam Leeflang			orcid:0000-0002-3973-1277	Mathias Dillen	rdf property	rdf property	2023-09			|unknown:undigitized|unknown|Unknown
mids:QualitativeLocation	mids2	skos:narrowMatch	dwc:stateProvince	dwc:Occurrence	semapv:HumanCuration	orcid:0000-0002-5669-2769	Sam Leeflang			orcid:0000-0002-3973-1278	Mathias Dillen	rdf property	rdf property	2023-09			|unknown:undigitized|unknown|Unknown
mids:QualitativeLocation	mids2	skos:narrowMatch	dwc:waterBody	dwc:Occurrence	semapv:HumanCuration	orcid:0000-0002-5669-2769	Sam Leeflang			orcid:0000-0002-3973-1279	Mathias Dillen	rdf property	rdf property	2023-09			|unknown:undigitized|unknown|Unknown
mids:QualitativeLocation	mids2	skos:narrowMatch	dwc:higherGeography	dwc:Occurrence	semapv:HumanCuration	orcid:0000-0001-9144-2848	Elspeth Haston			orcid:0000-0002-3973-1279	Mathias Dillen	rdf property	rdf property	2023-09			|unknown:undigitized|unknown|Unknown
mids:QuantitativeLocation	mids2	skos:exactMatch	dwc:locationID	dwc:Occurrence	semapv:HumanCuration	orcid:0000-0002-3973-1257	Mathias Dillen			orcid:0000-0002-3973-1274	Mathias Dillen	rdf property	rdf property	2023-09			|unknown:undigitized|unknown|Unknown
mids:QuantitativeLocation	mids2	owl:intersectionOf	dwc:decimalLatitude	dwc:Occurrence	semapv:HumanCuration	orcid:0000-0002-3973-1257	Mathias Dillen			orcid:0000-0002-3973-1275	Mathias Dillen	rdf property	rdf property	2023-09			|unknown:undigitized|unknown|Unknown
mids:QuantitativeLocation	mids2	owl:intersectionOf	dwc:decimalLongitude	dwc:Occurrence	semapv:HumanCuration	orcid:0000-0002-3973-1257	Mathias Dillen			orcid:0000-0002-3973-1276	Mathias Dillen	rdf property	rdf property	2023-09	dwc:decimalLatitude | dwc:decimalLongitude	All properties in object_match_field need to be present	|unknown:undigitized|unknown|Unknown
mids:QuantitativeLocation	mids2	skos:narrowMatch	dwc:footprintWKT	dwc:Occurrence	semapv:HumanCuration	orcid:0000-0002-3973-1257	Mathias Dillen			orcid:0000-0002-3973-1280	Mathias Dillen	rdf property	rdf property	2023-09			|unknown:undigitized|unknown|Unknown
mids:CollectingAgent	mids2	skos:narrowMatch	dwc:recordedBy	dwc:Occurrence	semapv:HumanCuration	orcid:0000-0002-3973-1257 | orcid:0000-0002-5669-2769	Mathias Dillen | Sam Leeflang			orcid:0000-0002-3973-1282	Mathias Dillen	rdf property	rdf property	2023-09			|unknown:undigitized|unknown|Unknown
mids:CollectingAgent	mids2	skos:narrowMatch	dwc:recordedByID	dwc:Occurrence	semapv:HumanCuration	orcid:0000-0002-3973-1257 | orcid:0000-0002-5669-2769	Mathias Dillen | Sam Leeflang			orcid:0000-0002-3973-1283	Mathias Dillen	rdf property	rdf property	2023-09			|unknown:undigitized|unknown|Unknown
mids:CollectionDate	mids2	skos:narrowMatch	dwc:eventDate	dwc:Occurrence	semapv:HumanCuration	orcid:0000-0002-3973-1257 | orcid:0000-0002-5669-2769	Mathias Dillen | Sam Leeflang			orcid:0000-0002-3973-1284	Mathias Dillen	rdf property	rdf property	2023-09			|unknown:undigitized|unknown|Unknown
mids:CollectionDate	mids2	skos:narrowMatch	dwc:year	dwc:Occurrence	semapv:HumanCuration	orcid:0000-0002-3973-1257	Mathias Dillen			orcid:0000-0002-3973-1285	Mathias Dillen	rdf property	rdf property	2023-09			|unknown:undigitized|unknown|Unknown
mids:CollectionDate	mids2	skos:narrowMatch	dwc:verbatimEventDate	dwc:Occurrence	semapv:HumanCuration	orcid:0000-0002-3973-1257	Mathias Dillen			orcid:0000-0002-3973-1286	Mathias Dillen	rdf property	rdf property	2023-09			|unknown:undigitized|unknown|Unknown
mids:CollectorNumber	mids2	skos:narrowMatch	dwc:fieldNumber	dwc:Occurrence	semapv:HumanCuration	orcid:0000-0002-3973-1257 | orcid:0000-0002-5669-2769	Mathias Dillen | Sam Leeflang			orcid:0000-0002-3973-1287	Mathias Dillen	rdf property	rdf property	2023-09			|unknown:undigitized|unknown|Unknown
mids:CollectorNumber	mids2	skos:narrowMatch	dwc:recordNumber	dwc:Occurrence	semapv:HumanCuration	orcid:0000-0002-3973-1257 | orcid:0000-0002-5669-2769	Mathias Dillen | Sam Leeflang			orcid:0000-0002-3973-1288	Mathias Dillen	rdf property	rdf property	2023-09			|unknown:undigitized|unknown|Unknown
mids:media	mids2	skos:narrowMatch	gbif:mediaType	dwc:Occurrence	semapv:HumanCuration	orcid:0000-0002-3973-1257	Mathias Dillen			orcid:0000-0002-3973-1289	Mathias Dillen	rdf property	rdf property	2023-09			|unknown:undigitized|unknown|Unknown
mids:media	mids2	skos:narrowMatch	dwc:associatedMedia	dwc:Occurrence	semapv:HumanCuration	orcid:0000-0002-5669-2769	Sam Leeflang			orcid:0000-0002-3973-1289	Mathias Dillen	rdf property	rdf property	2023-09			|unknown:undigitized|unknown|Unknown
mids:media	mids2	skos:narrowMatch	dc:identifier	gbif:Multimedia	semapv:HumanCuration	orcid:0000-0002-3973-1257	Mathias Dillen			orcid:0000-0002-3973-1289	Mathias Dillen	rdf property	rdf property	2023-12-05			|unknown:undigitized|unknown|Unknown
mids:media	mids2	skos:narrowMatch	dc:references	gbif:Multimedia	semapv:HumanCuration	orcid:0000-0002-3973-1257	Mathias Dillen			orcid:0000-0002-3973-1289	Mathias Dillen	rdf property	rdf property	2023-12-05			|unknown:undigitized|unknown|Unknown
mids:media	mids2	skos:narrowMatch	ac:accessURI	ac:Multimedia	semapv:HumanCuration	orcid:0000-0002-3973-1257	Mathias Dillen			orcid:0000-0002-3973-1289	Mathias Dillen	rdf property	rdf property	2023-12-05			|unknown:undigitized|unknown|Unknown
mids:media	mids2	skos:narrowMatch	dc:identifier	ac:Multimedia	semapv:HumanCuration	orcid:0000-0002-3973-1257	Mathias Dillen			orcid:0000-0002-3973-1289	Mathias Dillen	rdf property	rdf property	2023-12-05			|unknown:undigitized|unknown|Unknown
mids:GeographicalLocalityID	mids3	owl:intersectionOf	dwc:geodeticDatum	dwc:Occurrence	semapv:HumanCuration	orcid:0000-0002-3973-1257 | orcid:0000-0002-5669-2769	Mathias Dillen | Sam Leeflang			orcid:0000-0002-3973-1277	Mathias Dillen	rdf property	rdf property	2023-09			|unknown:undigitized|unknown|Unknown
mids:GeographicalLocalityID	mids3	owl:intersectionOf	dwc:coordinateUncertaintyInMeters	dwc:Occurrence	semapv:HumanCuration	orcid:0000-0002-3973-1257	Mathias Dillen			orcid:0000-0002-3973-1278	Mathias Dillen	rdf property	rdf property	2023-09			|unknown:undigitized|unknown|Unknown
mids:GeographicalLocalityID	mids3	owl:intersectionOf	dwc:coordinatePrecision	dwc:Occurrence	semapv:HumanCuration	orcid:0000-0002-3973-1257	Mathias Dillen			orcid:0000-0002-3973-1279	Mathias Dillen	rdf property	rdf property	2023-09			|unknown:undigitized|unknown|Unknown
mids:GeographicalLocalityID	mids3	owl:intersectionOf	dwc:footprintSRS	dwc:Occurrence	semapv:HumanCuration	orcid:0000-0002-3973-1257	Mathias Dillen			orcid:0000-0002-3973-1281	Mathias Dillen	rdf property	rdf property	2023-09			|unknown:undigitized|unknown|Unknown
mids:GeographicalLocalityID	mids3	skos:exactMatch	dwc:locationID	dwc:Occurrence	semapv:HumanCuration	orcid:0000-0002-3973-1257	Mathias Dillen			orcid:0000-0002-3973-1274	Mathias Dillen	rdf property	rdf property	2023-09			|unknown:undigitized|unknown|Unknown
mids:GeographicalLocalityID	mids3	owl:intersectionOf	dwc:decimalLatitude	dwc:Occurrence	semapv:HumanCuration	orcid:0000-0002-3973-1257	Mathias Dillen			orcid:0000-0002-3973-1275	Mathias Dillen	rdf property	rdf property	2023-09			|unknown:undigitized|unknown|Unknown
mids:GeographicalLocalityID	mids3	owl:intersectionOf	dwc:decimalLongitude	dwc:Occurrence	semapv:HumanCuration	orcid:0000-0002-3973-1257	Mathias Dillen			orcid:0000-0002-3973-1276	Mathias Dillen	rdf property	rdf property	2023-09	dwc:decimalLatitude | dwc:decimalLongitude | dwc:coordinatePrecision | dwc:coordinateUncertaintyInMeters | dwc:geodeticDatum	All properties in object_match_field need to be present	|unknown:undigitized|unknown|Unknown
mids:GeographicalLocalityID	mids3	owl:intersectionOf	dwc:footprintWKT	dwc:Occurrence	semapv:HumanCuration	orcid:0000-0002-3973-1257	Mathias Dillen			orcid:0000-0002-3973-1280	Mathias Dillen	rdf property	rdf property	2023-09	dwc:footprintWKT | dwc:footprintSRS	All properties in object_match_field need to be present	|unknown:undigitized|unknown|Unknown
mids:InstitutionID	mids3	skos:exactMatch	dwc:institutionID	dwc:Occurrence	semapv:HumanCuration	orcid:0000-0002-3973-1257	Mathias Dillen			orcid:0000-0002-3973-1280	Mathias Dillen	rdf property	rdf property	2023-12-07			|unknown:undigitized|unknown|Unknown
mids:CollectorID	mids3	skos:exactMatch	dwc:recordedByID	dwc:Occurrence	semapv:HumanCuration	orcid:0000-0002-3973-1257	Mathias Dillen			orcid:0000-0002-3973-1283	Mathias Dillen	rdf property	rdf property	2023-12-07			|unknown:undigitized|unknown|Unknown
mids:ScientificNameID	mids3	skos:exactMatch	dwc:scientificNameID	dwc:Occurrence	semapv:HumanCuration	orcid:0000-0002-3973-1257	Mathias Dillen			orcid:0000-0002-3973-1260	Mathias Dillen	rdf property	rdf property	2023-12-07			|unknown:undigitized|unknown|Unknown|0
mids:ScientificNameID	mids3	skos:narrowMatch	gbif:taxonKey	dwc:Occurrence	semapv:HumanCuration	orcid:0000-0002-3973-1257	Mathias Dillen			orcid:0000-0002-3973-1260	Mathias Dillen	rdf property	rdf property	2024-06-26			|unknown:undigitized|unknown|Unknown|0
mids:IdentifiedByID	mids3	skos:narrowMatch	dwc:identifiedByID	dwc:Occurrence	semapv:HumanCuration	orcid:0000-0002-3973-1257	Mathias Dillen			orcid:0000-0002-3973-1260	Mathias Dillen	rdf property	rdf property	2023-12-07			|unknown:undigitized|unknown|Unknown
mids:IdentifiedByID	mids3	skos:narrowMatch	dwc:identifiedByID	dwc:Identification	semapv:HumanCuration	orcid:0000-0002-3973-1257	Mathias Dillen			orcid:0000-0002-3973-1260	Mathias Dillen	rdf property	rdf property	2023-12-07			|unknown:undigitized|unknown|Unknown
mids:AssociatedMediaID	mids3	skos:narrowMatch	dc:identifier	gbif:Multimedia	semapv:HumanCuration	orcid:0000-0002-3973-1257	Mathias Dillen			orcid:0000-0002-3973-1289	Mathias Dillen	rdf property	rdf property	2023-12-07			|unknown:undigitized|unknown|Unknown
mids:AssociatedMediaID	mids3	skos:narrowMatch	dc:identifier	ac:Multimedia	semapv:HumanCuration	orcid:0000-0002-3973-1257	Mathias Dillen			orcid:0000-0002-3973-1289	Mathias Dillen	rdf property	rdf property	2023-12-07			|unknown:undigitized|unknown|Unknown
